timestamp, IGNORE, OPEN, HIGH, LOW, CLOSE, IGNORE, VOL
2018-11-28 09-PM,BTCUSD,4324.4,4324.4,4220.3,4222,644.73,2759459.42
2018-11-28 08-PM,BTCUSD,4285.8,4397.6,4270.2,4324.4,1232.99,5327376.86
2018-11-28 07-PM,BTCUSD,4229.7,4368.3,4218.1,4285.8,1487.41,6387518.92
2018-11-28 06-PM,BTCUSD,4180,4249.1,4180,4229.7,770.54,3245699.84
2018-11-28 05-PM,BTCUSD,4136.9,4229.9,4128.2,4180,521.69,2181384.08
2018-11-28 04-PM,BTCUSD,4207,4207.1,4128.1,4136.9,633.1,2635335.43
2018-11-28 03-PM,BTCUSD,4210.3,4211.3,4134.3,4207,838.94,3500637.11
2018-11-28 02-PM,BTCUSD,4135,4235,4123.1,4210.3,1131.46,4733961.38
2018-11-28 01-PM,BTCUSD,4132.1,4205.5,4103.4,4135,1119.97,4636486.11
2018-11-28 12-PM,BTCUSD,4013.6,4149.7,3981.1,4132.1,760.01,3087532.38
2018-11-28 11-AM,BTCUSD,4006.6,4037.9,3983.7,4013.6,324.44,1300278.51
2018-11-28 10-AM,BTCUSD,3972.6,4013.5,3959.3,4006.6,338.96,1355908.78
2018-11-28 09-AM,BTCUSD,3955.6,3985,3955.5,3972.6,302.13,1200003.95
2018-11-28 08-AM,BTCUSD,4019.8,4043.2,3950,3955.6,371.13,1480458.62
2018-11-28 07-AM,BTCUSD,3977.4,4057.8,3974.2,4019.8,485.5,1946669.56
2018-11-28 06-AM,BTCUSD,3982.6,4012.4,3972.2,3977.4,525.11,2098278.67
2018-11-28 05-AM,BTCUSD,4033.9,4077.8,3976.5,3982.6,786.42,3162612.7
2018-11-28 04-AM,BTCUSD,3847.6,4041.6,3826.8,4033.9,1413.22,5566508.19
2018-11-28 03-AM,BTCUSD,3800.1,3859.8,3800.1,3847.6,385.17,1476136.6
2018-11-28 02-AM,BTCUSD,3793.4,3835,3793.4,3800.1,239.58,913050.03
2018-11-28 01-AM,BTCUSD,3791.7,3811.7,3779.4,3793.4,232.51,882570.18
2018-11-28 12-AM,BTCUSD,3770.7,3838.7,3770.7,3791.7,560.97,2136159.14
2018-11-27 11-PM,BTCUSD,3790.1,3811.5,3761.9,3770.7,388.11,1467666.99
2018-11-27 10-PM,BTCUSD,3767.3,3829,3740.8,3790.1,564.37,2139679.24
2018-11-27 09-PM,BTCUSD,3725.9,3798.5,3690,3767.3,767.27,2866183.24
2018-11-27 08-PM,BTCUSD,3714.2,3725.9,3674.6,3725.9,383.08,1418358.87
2018-11-27 07-PM,BTCUSD,3725.6,3779.9,3690,3714.2,835.49,3112862.89
2018-11-27 06-PM,BTCUSD,3677.8,3736.1,3672.3,3725.6,392.28,1456571.14
2018-11-27 05-PM,BTCUSD,3706.5,3729.9,3660.6,3677.8,469.37,1732053.35
2018-11-27 04-PM,BTCUSD,3663.8,3714.4,3640.8,3706.5,690.48,2532848.05
2018-11-27 03-PM,BTCUSD,3700.2,3700.2,3636.1,3663.8,514.66,1885607.39
2018-11-27 02-PM,BTCUSD,3711.3,3731,3694.4,3700.2,450.24,1670736.21
2018-11-27 01-PM,BTCUSD,3676.5,3753,3660,3711.3,712.41,2636319.61
2018-11-27 12-PM,BTCUSD,3650.3,3687.9,3632.3,3676.5,538.63,1974238.28
2018-11-27 11-AM,BTCUSD,3681.8,3701.7,3646.7,3650.3,217.95,799258.11
2018-11-27 10-AM,BTCUSD,3656.2,3735.2,3561.6,3681.8,819.97,2999798.97
2018-11-27 09-AM,BTCUSD,3637.8,3694.4,3610,3656.2,189.71,693856.89
2018-11-27 08-AM,BTCUSD,3736.9,3740.7,3621.9,3637.8,509.84,1871596.13
2018-11-27 07-AM,BTCUSD,3781,3797.3,3712.6,3736.9,323.05,1212197.08
2018-11-27 06-AM,BTCUSD,3730.8,3781.4,3710.6,3781,248.5,929097.01
2018-11-27 05-AM,BTCUSD,3696.2,3773.1,3695.1,3730.8,535.16,2000401.02
2018-11-27 04-AM,BTCUSD,3685,3724,3657.5,3696.2,264.57,977020.14
2018-11-27 03-AM,BTCUSD,3721,3750,3676.3,3685,407.14,1507442.28
2018-11-27 02-AM,BTCUSD,3680.3,3730.9,3639.9,3721,376.78,1386969.2
2018-11-27 01-AM,BTCUSD,3739.3,3742.2,3651.6,3680.3,468.98,1729932.98
2018-11-27 12-AM,BTCUSD,3727.1,3772,3676.6,3739.3,569.0,2114241.59
2018-11-26 11-PM,BTCUSD,3647.6,3759,3583.9,3727.1,1279.93,4718206.58
2018-11-26 10-PM,BTCUSD,3661.6,3721.4,3623.5,3647.6,905.94,3324221.26
2018-11-26 09-PM,BTCUSD,3630.6,3701.6,3560,3661.6,1609.42,5846896.14
2018-11-26 08-PM,BTCUSD,3772,3778.8,3580.3,3630.6,1546.03,5684243.15
2018-11-26 07-PM,BTCUSD,3813.8,3862.3,3758.4,3772,937.9,3567184.55
2018-11-26 06-PM,BTCUSD,3733.1,3827.5,3704.9,3813.8,836.01,3148539.83
2018-11-26 05-PM,BTCUSD,3763.3,3818.7,3708.9,3733.1,995.73,3744484.35
2018-11-26 04-PM,BTCUSD,3672.6,3793.7,3516.1,3763.3,2814.34,10252951.49
2018-11-26 03-PM,BTCUSD,3753.7,3762.8,3672.6,3672.6,878.52,3272406.87
2018-11-26 02-PM,BTCUSD,3826.7,3845.8,3692,3753.7,1153.1,4331265.99
2018-11-26 01-PM,BTCUSD,3900,3919,3821.8,3826.7,454.64,1763267.37
2018-11-26 12-PM,BTCUSD,3928.9,3930.2,3877.4,3900,322.26,1259347.61
2018-11-26 11-AM,BTCUSD,3915.2,3952.8,3891.2,3928.9,328.79,1288737.42
2018-11-26 10-AM,BTCUSD,3889.9,3951.7,3887,3915.2,457.52,1792458.83
2018-11-26 09-AM,BTCUSD,3927,3942,3850.1,3889.9,290.79,1133457.69
2018-11-26 08-AM,BTCUSD,3973.8,3979.1,3874,3927,433.08,1696178.1
2018-11-26 07-AM,BTCUSD,4046.7,4049.5,3967.5,3973.8,436.94,1756765.49
2018-11-26 06-AM,BTCUSD,3969,4067.8,3959.3,4046.7,413.45,1661782.94
2018-11-26 05-AM,BTCUSD,3937.7,3991.3,3902,3969,270.29,1069276.06
2018-11-26 04-AM,BTCUSD,3979.3,3983.7,3913.3,3937.7,412.81,1628004.73
2018-11-26 03-AM,BTCUSD,3965.1,3996.8,3946.2,3979.3,297.91,1183112.77
2018-11-26 02-AM,BTCUSD,3945.5,3974.9,3903.4,3965.1,337.55,1325851.39
2018-11-26 01-AM,BTCUSD,3991.3,3996.6,3925.5,3945.5,328.11,1297735.62
2018-11-26 12-AM,BTCUSD,3932.9,4047.4,3932.2,3991.3,642.27,2565539.6
2018-11-25 11-PM,BTCUSD,3941,3979,3911,3932.9,528.64,2084923.06
2018-11-25 10-PM,BTCUSD,4033.7,4096.3,3931,3941,989.57,3986720.18
2018-11-25 09-PM,BTCUSD,3934.4,4126.9,3890.8,4033.7,1283.84,5141782.45
2018-11-25 08-PM,BTCUSD,3790.1,4048.1,3773.5,3934.4,1259.8,4933216.51
2018-11-25 07-PM,BTCUSD,3694.4,3863.2,3691.8,3790.1,692.41,2624593.66
2018-11-25 06-PM,BTCUSD,3672.9,3726.7,3672.9,3694.4,461.31,1706701.8
2018-11-25 05-PM,BTCUSD,3709.3,3724,3629,3672.9,521.39,1913318.68
2018-11-25 04-PM,BTCUSD,3730,3757.1,3675,3709.3,490.11,1824016.4
2018-11-25 03-PM,BTCUSD,3796.7,3799.2,3694.4,3730,494.32,1843146.58
2018-11-25 02-PM,BTCUSD,3829,3830.3,3782.1,3796.7,347.23,1320362.41
2018-11-25 01-PM,BTCUSD,3774.7,3884.9,3759,3829,895.62,3413577.44
2018-11-25 12-PM,BTCUSD,3776,3839.7,3727.5,3774.7,685.86,2592563.35
2018-11-25 11-AM,BTCUSD,3650.5,3949.4,3646.2,3776,1844.21,7032106.39
2018-11-25 10-AM,BTCUSD,3605.7,3669.5,3456,3650.5,2022.64,7147714.33
2018-11-25 09-AM,BTCUSD,3686.3,3691.5,3585.8,3605.7,425.22,1543855.61
2018-11-25 08-AM,BTCUSD,3707,3724,3676.3,3686.3,169.57,627123.16
2018-11-25 07-AM,BTCUSD,3650,3724.1,3650,3707,478.73,1764198.17
2018-11-25 06-AM,BTCUSD,3665,3705.1,3645,3650,438.95,1609684.76
2018-11-25 05-AM,BTCUSD,3633.2,3687.6,3600.3,3665,500.3,1825919.57
2018-11-25 04-AM,BTCUSD,3638.4,3703.5,3583.6,3633.2,1125.8,4097877.56
2018-11-25 03-AM,BTCUSD,3739,3750.6,3610,3638.4,1630.75,5983765.3
2018-11-25 02-AM,BTCUSD,3784.8,3787.7,3690,3739,688.37,2572947.41
2018-11-25 01-AM,BTCUSD,3768.6,3810.1,3746.7,3784.8,534.1,2018807.47
2018-11-25 12-AM,BTCUSD,3780,3834.7,3710.1,3768.6,1184.21,4476980.29
2018-11-24 11-PM,BTCUSD,3721.4,3978.8,3702.1,3780,1528.93,5842370.99
2018-11-24 10-PM,BTCUSD,3817.2,3874.7,3685,3721.4,1818.17,6828604.42
2018-11-24 09-PM,BTCUSD,4136.4,4152,3733.3,3817.2,3853.84,14994061.61
2018-11-24 08-PM,BTCUSD,4137,4163.7,4112.7,4136.4,338.56,1402837.91
2018-11-24 07-PM,BTCUSD,4205.1,4212.3,4120,4137,372.99,1550727.56
2018-11-24 06-PM,BTCUSD,4216.4,4219.3,4205.1,4205.1,74.92,315708.85
2018-11-24 05-PM,BTCUSD,4195,4217.1,4174,4216.4,175.51,735797.92
2018-11-24 04-PM,BTCUSD,4234.7,4234.7,4185.8,4195,351.42,1478116.12
2018-11-24 03-PM,BTCUSD,4243.3,4246.1,4212.5,4234.7,111.99,473841.57
